dt,cnt
2014-08-23,35693419
2014-08-24,35672128
2014-08-25,35631935
2014-08-26,35608522
2014-08-27,35568594
2014-08-28,35528445
2014-08-29,35514136
2014-08-30,35490872
2014-08-31,35538259
2014-09-01,35536603
2014-09-02,35551279
2014-09-03,35534096
2014-09-04,35468834
2014-09-05,35425558
2014-09-06,35438505
2014-09-07,35456770
2014-09-08,35456878
2014-09-09,35428073
2014-09-10,35375159
2014-09-11,35338047
2014-09-12,35283125
2014-09-13,35271643
2014-09-14,35245820
2014-09-15,35185050
2014-09-16,35112503
2014-09-17,34997049
2014-09-18,34918180
2014-09-19,34839630
2014-09-20,34846693
2014-09-21,34869575
2014-09-22,34835277
2014-09-23,34789614
2014-09-24,34725271
2014-09-25,34705478
2014-09-26,34684466
2014-09-27,34703129
2014-09-28,34748165
2014-09-29,34716567
2014-09-30,34616165
2014-10-01,34460964
2014-10-02,34321341
2014-10-03,34174367
2014-10-04,34130509
2014-10-05,34154792
2014-10-06,34078113
2014-10-07,34007409
2014-10-08,33906854
2014-10-09,33804826
2014-10-10,33783929
2014-10-11,33783516
2014-10-12,33775461
2014-10-13,33766083
2014-10-14,33674726
2014-10-15,33572008
2014-10-16,33526500
2014-10-17,33506237
2014-10-18,33507390
2014-10-19,33541646
2014-10-20,33528052
2014-10-21,33459348
2014-10-22,33379316
2014-10-23,33362764
2014-10-24,33362965
2014-10-25,33402826
2014-10-26,33450132
2014-10-27,33454887
2014-10-28,33402871
2014-10-29,33340470
2014-10-30,33293969
2014-10-31,33299799
2014-11-01,33343122
2014-11-02,33405816
2014-11-03,33448824
2014-11-04,33456032
2014-11-05,33445090
2014-11-06,33447698
2014-11-07,33454428
2014-11-08,33512899
2014-11-09,33582250
2014-11-10,33599279
2014-11-11,33618711
2014-11-12,33589726
2014-11-13,33573989
2014-11-14,33621881
2014-11-15,33676800
2014-11-16,33737917
2014-11-17,33751772
2014-11-18,33722710
2014-11-19,33663555
2014-11-20,33637460
2014-11-21,33637119
2014-11-22,33696106
2014-11-23,33754779
2014-11-24,33748031
2014-11-25,33778010
2014-11-26,33775664
2014-11-27,33804776
2014-11-28,33850362
2014-11-29,33914593
2014-11-30,33994025
2014-12-01,34004062
2014-12-02,33984090
2014-12-03,33925595
2014-12-04,33890756
2014-12-05,33850131
2014-12-06,33861129
2014-12-07,33893726
2014-12-08,33884134
2014-12-09,33826913
2014-12-10,33781646
2014-12-11,33752641
2014-12-12,33690914
2014-12-13,33729754
